都道府県コード,都道府県名,市区町村コード,市区町村名,大字町丁目コード,大字町丁目名,経度,緯度,原典資料コード,大字・字・丁目区分コード
16,富山県,16201,富山市,1.6201E+11,才覚地,137.362585,36.565439,0,1
16,富山県,16201,富山市,1.6201E+11,境野新,137.131985,36.675756,0,1
16,富山県,16201,富山市,1.6201E+11,栄新町,137.259702,36.687491,0,1
16,富山県,16201,富山市,1.6201E+11,栄町一丁目,137.232426,36.692687,0,3
16,富山県,16201,富山市,1.6201E+11,栄町二丁目,137.232084,36.691335,0,3
16,富山県,16201,富山市,1.6201E+11,栄町三丁目,137.232118,36.69006,0,3
16,富山県,16201,富山市,1.6201E+11,坂下新,137.093953,36.667203,0,1
16,富山県,16201,富山市,1.6201E+11,坂本,137.225663,36.584968,0,1
16,富山県,16201,富山市,1.6201E+11,桜木町,137.214155,36.694234,0,1
16,富山県,16201,富山市,1.6201E+11,桜谷みどり町一丁目,137.197583,36.710428,0,3
16,富山県,16201,富山市,1.6201E+11,桜谷みどり町二丁目,137.195518,36.712959,0,3
16,富山県,16201,富山市,1.6201E+11,桜橋通り,137.21607,36.697424,0,1
16,富山県,16201,富山市,1.6201E+11,桜町一丁目,137.214665,36.69941,0,3
16,富山県,16201,富山市,1.6201E+11,桜町二丁目,137.212471,36.698222,0,3
16,富山県,16201,富山市,1.6201E+11,笹津,137.211429,36.565684,0,1
16,富山県,16201,富山市,1.6201E+11,山王町,137.213348,36.687021,0,1
16,富山県,16201,富山市,1.6201E+11,三熊,137.100709,36.662274,0,1
16,富山県,16201,富山市,1.6201E+11,三番町,137.217397,36.688141,0,1
16,富山県,16201,富山市,1.6201E+11,塩,137.190869,36.60087,0,1
16,富山県,16201,富山市,1.6201E+11,寺家,137.233288,36.556853,0,1
16,富山県,16201,富山市,1.6201E+11,下タ林,137.19755,36.567484,0,1
16,富山県,16201,富山市,1.6201E+11,七軒町,137.206189,36.693891,0,1
16,富山県,16201,富山市,1.6201E+11,芝園町一丁目,137.202638,36.698396,0,3
16,富山県,16201,富山市,1.6201E+11,芝園町二丁目,137.207719,36.697105,0,3
16,富山県,16201,富山市,1.6201E+11,芝園町三丁目,137.202139,36.696058,0,3
16,富山県,16201,富山市,1.6201E+11,島田,137.206447,36.640231,0,1
16,富山県,16201,富山市,1.6201E+11,清水中町,137.22857,36.687414,0,1
16,富山県,16201,富山市,1.6201E+11,清水町一丁目,137.224159,36.689513,0,3
